doi_type,doi,title,citation_count
published_doi,10.1073/pnas.2513172122,"Mechanical compression induces neuronal apoptosis, reduces synaptic activity, and promotes glial neuroinflammation in mice and humans",0
biorxiv_doi,10.1101/2025.10.01.679787,Memory B cell Development in Response to mRNA SARS-CoV-2 and Nanoparticle Immunization in Mice,0
published_doi,10.1073/pnas.2527869123,Memory B cell Development in Response to mRNA SARS-CoV-2 and Nanoparticle Immunization in Mice,0
biorxiv_doi,10.1101/2025.03.14.643101,Design of solubly expressed miniaturized SMART MHCs,2
published_doi,10.1073/pnas.2505932123,Design of solubly expressed miniaturized SMART MHCs,
biorxiv_doi,10.1101/2025.09.21.677650,Dosa: A method to covalently barcode proteinsfor high throughput biochemistry,0
published_doi,10.1073/pnas.2529762123,Dosa: A method to covalently barcode proteinsfor high throughput biochemistry,0
biorxiv_doi,10.1101/2025.08.05.667964,CHAMP1 Complex Promotes Heterochromatin Assembly and Reduces Replication Stress,1
published_doi,10.1073/pnas.2525144122,CHAMP1 Complex Promotes Heterochromatin Assembly and Reduces Replication Stress,0
biorxiv_doi,10.1101/2025.08.01.667725,"A SWI/SNF-specific Ig-like domain, SWIFT, is a transcription factor binding platform",6
published_doi,10.1126/science.aeb3627,"A SWI/SNF-specific Ig-like domain, SWIFT, is a transcription factor binding platform",1
biorxiv_doi,10.1101/2025.06.25.661657,A Two-Phase Core-Plasma Model for Microvascular Blood Flow: Comparative Analysis of Hemodynamic Models,
published_doi,10.1371/journal.pone.0327948,A Two-Phase Core-Plasma Model for Microvascular Blood Flow: Comparative Analysis of Hemodynamic Models,1
biorxiv_doi,10.1101/2023.11.28.567094,Pathogenic IgE-fated B cell memory retains functional plasticity,1
published_doi,10.1126/sciimmunol.ady2268,Pathogenic IgE-fated B cell memory retains functional plasticity,1
biorxiv_doi,10.1101/2025.02.06.636921,AI-assisted protein design to rapidly convert antibody sequences to intrabodies targeting diverse peptides and histone modifications,3
published_doi,10.1126/sciadv.adx8352,AI-assisted protein design to rapidly convert antibody sequences to intrabodies targeting diverse peptides and histone modifications,2
biorxiv_doi,10.1101/2025.05.19.654939,Temperature-dependent modulation of aberrant influenza A virus RNA synthesis affects innate immune signaling,1
published_doi,10.1126/sciadv.aeb2700,Temperature-dependent modulation of aberrant influenza A virus RNA synthesis affects innate immune signaling,
biorxiv_doi,10.1101/2025.08.21.671520,FSP1 and histone deacetylases suppress cancer persister cell ferroptosis,1
published_doi,10.1126/sciadv.aea8771,FSP1 and histone deacetylases suppress cancer persister cell ferroptosis,2
biorxiv_doi,10.1101/2024.08.20.608778,Mechanical control of the insect extracellular matrix nanostructure,0
published_doi,10.1126/sciadv.adw5022,Mechanical control of the insect extracellular matrix nanostructure,3
biorxiv_doi,10.1101/2025.04.10.648182,A method to estimate absolute odorant concentration of olfactory stimuli,1
published_doi,10.1371/journal.pone.0337336,A method to estimate absolute odorant concentration of olfactory stimuli,
biorxiv_doi,10.1101/2024.05.22.595241,Genotype-to-phenotype mapping of somatic clonal mosaicism via single-cell co-capture of DNA mutations and mRNA transcripts,4
published_doi,10.1158/2159-8290.CD-24-0853,Genotype-to-phenotype mapping of somatic clonal mosaicism via single-cell co-capture of DNA mutations and mRNA transcripts,1
biorxiv_doi,10.1101/2025.01.18.633635,Immune cell mitochondrial phenotypes are largely preserved in mitochondrial diseases and do not reflect disease severity,0
published_doi,10.1212/NXG.0000000000200343,Immune cell mitochondrial phenotypes are largely preserved in mitochondrial diseases and do not reflect disease severity,1
biorxiv_doi,10.1101/2024.07.01.601472,Unravelling the progression of the zebrafish primary body axis with reconstructed spatiotemporal transcriptomics,
published_doi,10.1186/s13059-025-03917-8,Unravelling the progression of the zebrafish primary body axis with reconstructed spatiotemporal transcriptomics,1
biorxiv_doi,10.1101/2025.11.17.688954,Comparative genomic analyses shed light on the introduction routes of rice-pathogenic Burkholderia gladioli strains into Bangladesh,
published_doi,10.1186/s12864-025-12430-y,Comparative genomic analyses shed light on the introduction routes of rice-pathogenic Burkholderia gladioli strains into Bangladesh,0
biorxiv_doi,10.1101/2025.06.26.661616,"Chromosome-scale genome assembly for Yellow Wood sorrel, Oxalis stricta",
published_doi,10.1093/g3journal/jkaf317,"Chromosome-scale genome assembly for Yellow Wood sorrel, Oxalis stricta",2
biorxiv_doi,10.1101/2023.03.08.531735,A high soluble-fibre allele in wheat encodes a defective cell wall peroxidase responsible for dimerization of ferulate moieties on arabinoxylan,4
published_doi,10.1111/pbi.70527,A high soluble-fibre allele in wheat encodes a defective cell wall peroxidase responsible for dimerization of ferulate moieties on arabinoxylan,1
biorxiv_doi,10.1101/2025.01.07.631780,The zinc-finger protein POGZ associates with Polycomb repressive complex 1 to regulate bone morphogenetic protein signaling during neuronal differentiation,0
published_doi,10.1007/s12015-025-11028-x,The zinc-finger protein POGZ associates with Polycomb repressive complex 1 to regulate bone morphogenetic protein signaling during neuronal differentiation,0
biorxiv_doi,10.1101/2025.03.03.641144,Single-Nucleotide m6A Mapping Uncovers Redundant YTHDF Function in Planarian Progenitor Fate Selection,2
published_doi,10.1038/s44318-025-00662-3,Single-Nucleotide m6A Mapping Uncovers Redundant YTHDF Function in Planarian Progenitor Fate Selection,0
biorxiv_doi,10.1101/2025.04.26.650791,Coordinated Discordance: Strategic Nest Attendance for Chick Rearing in Monogamous Seabird,0
published_doi,10.1007/s10336-025-02352-7,Coordinated Discordance: Strategic Nest Attendance for Chick Rearing in Monogamous Seabird,0
biorxiv_doi,10.1101/2025.03.20.644192,Bacterial ubiquitin ligase engineered for small molecule and protein target identification,1
published_doi,10.1038/s44318-025-00665-0,Bacterial ubiquitin ligase engineered for small molecule and protein target identification,0
biorxiv_doi,10.1101/2024.11.26.625372,Epromoters bind key stress-related transcription factors to regulate clusters of stress response genes,
published_doi,10.1038/s44318-025-00670-3,Epromoters bind key stress-related transcription factors to regulate clusters of stress response genes,
biorxiv_doi,10.1101/2025.07.18.663728,A live tumor fragment platform to assess immunotherapy response in core needle biopsies while addressing challenges of tumor heterogeneity,
published_doi,10.1186/s12967-025-07378-2,A live tumor fragment platform to assess immunotherapy response in core needle biopsies while addressing challenges of tumor heterogeneity,
biorxiv_doi,10.1101/2024.10.30.621164,The key role of cheaters in the persistence of cooperation,
published_doi,10.1186/s12915-025-02492-5,The key role of cheaters in the persistence of cooperation,
biorxiv_doi,10.1101/2025.04.30.651522,Anti-CSF-1R therapy with combined immuno- chemotherapy coordinate an adaptive immune response to eliminate macrophage enriched Triple Negative Breast Cancers,
published_doi,10.1038/s41467-025-67964-2,Anti-CSF-1R therapy with combined immuno- chemotherapy coordinate an adaptive immune response to eliminate macrophage enriched Triple Negative Breast Cancers,
