word_count;sentence_count;flesch_reading_ease;gunning_fog;flesch_kincaid_grade;avg_sentence_length;avg_letter_per_word;lexicon_count;figure_count;table_count;section_count;reference_count;doi;preprint_date;preprint_category;published_doi;published_flag;citation_count;influential_citation_count;semantic_year;semantic_journal;status
3411;183;46.8499610023832;13.927204448617031;11.347086011410417;18.60655737704918;5.160646108663729;3405;2;0;19.0;22.0;10.1101/073783;2016-09-06;Neuroscience;;0;19.0;2.0;2016.0;bioRxiv;200
4207;229;37.53622816857458;16.70861870834291;12.517175572841;18.087336244541486;5.087638821825205;4142;6;0;17.0;19.0;10.1101/073940;2016-09-06;Neuroscience;;0;2.0;0.0;2016.0;bioRxiv;200
3251;124;27.93926631093865;18.81807745169375;15.757374888834992;25.741935483870968;5.260025062656641;3192;7;0;5.0;58.0;10.1101/073981;2016-09-07;Neuroscience;;0;8.0;1.0;2017.0;Physical Biology;200
5758;387;47.219072239355;13.02305455595263;10.269962575419868;14.478036175710594;5.113867570944137;5603;8;3;24.0;94.0;10.1101/074484;2016-09-09;Neuroscience;;0;6.0;0.0;2016.0;bioRxiv;200
5580;247;25.28115366897299;18.47980462855506;15.248816077392608;22.20242914979757;5.541028446389497;5484;4;0;11.0;27.0;10.1101/074856;2016-10-13;Neuroscience;;0;27.0;3.0;2016.0;bioRxiv;200
8380;410;28.202241799831825;18.00940379403794;14.386338239416876;20.370731707317077;5.440972222222222;8352;11;1;32.0;51.0;10.1101/075283;2016-09-14;Neuroscience;;0;3.0;0.0;2016.0;bioRxiv;200
6279;310;26.6587251119;17.691598497710554;14.565624324741474;20.225806451612904;5.618500797448166;6270;6;0;15.0;83.0;10.1101/075341;2016-09-15;Neuroscience;;0;2.0;0.0;2016.0;bioRxiv;200
7391;368;44.85391231382886;14.980229596349105;11.981115773988517;20.03804347826087;5.220504475183076;7374;7;1;24.0;74.0;10.1101/075879;2016-09-21;Neuroscience;;0;20.0;2.0;2016.0;bioRxiv;200
6851;356;31.09520710274637;16.26021086136836;13.686263082144098;19.176966292134832;5.585908891167423;6827;4;3;24.0;125.0;10.1101/076240;2016-09-19;Neuroscience;;0;2.0;0.0;2016.0;bioRxiv;200
6361;318;33.97375050853896;16.79417478068788;13.411887892403708;19.68867924528302;5.318798913911516;6261;5;0;29.0;73.0;10.1101/076448;2016-09-20;Neuroscience;;0;34.0;2.0;2016.0;bioRxiv;200
5694;270;33.083252477829944;17.379603547209182;13.871064162754305;21.03703703703704;5.347183098591549;5680;4;1;22.0;85.0;10.1101/076455;2016-09-20;Neuroscience;;0;5.0;1.0;2016.0;bioRxiv;200
7167;392;30.879253949415613;16.86415321224832;13.49116987900997;18.270408163265305;5.531276179838034;7162;6;0;42.0;84.0;10.1101/076687;2016-09-21;Neuroscience;;0;12.0;0.0;2016.0;bioRxiv;200
5414;217;26.62066676267281;17.93795122887865;15.700878936251922;24.774193548387096;5.306361607142857;5376;10;0;10.0;13.0;10.1101/077396;2016-09-25;Neuroscience;;0;0.0;0.0;2016.0;bioRxiv;200
4950;222;25.66373247362276;19.029713144258967;15.211188604141268;22.265765765765767;5.672668419987861;4943;8;1;44.0;64.0;10.1101/077586;2016-09-26;Neuroscience;;0;3.0;0.0;2016.0;bioRxiv;200
3901;168;36.259067142298704;17.152393983394767;13.875830680591235;22.839285714285715;5.043002345582487;3837;3;0;16.0;23.0;10.1101/077719;2016-09-27;Neuroscience;;0;11.0;0.0;2016.0;Advances in neural information processing systems;200
7665;406;30.69467636146814;16.880280488577;13.59597984975598;18.588669950738915;5.408109182456605;7547;3;3;33.0;56.0;10.1101/077834;2016-09-27;Neuroscience;;0;0.0;0.0;2016.0;bioRxiv;200
2048;97;31.80589098001471;16.82418500975202;14.034907165835;20.97938144329897;5.320884520884521;2035;5;2;6.0;23.0;10.1101/078766;2016-10-02;Neuroscience;;0;4.0;0.0;2016.0;bioRxiv;200
